id,code,number,dec,description
l10n_py_currency_DZD,DZD,12,2,"Dinar argelino"
l10n_py_currency_EGP,EGP,818,2,"Libra egipcia"
l10n_py_currency_ERN,ERN,232,2,"Nakfa"
l10n_py_currency_ETB,ETB,230,2,"Birr etíope"
l10n_py_currency_EUR,EUR,978,2,"Euro"
l10n_py_currency_FJD,FJD,242,2,"Dólar fiyiano"
l10n_py_currency_FKP,FKP,238,2,"Libra malvinense"
l10n_py_currency_GBP,GBP,826,2,"Libra esterlina"
l10n_py_currency_GEL,GEL,981,2,"Lari"
l10n_py_currency_GHS,GHS,936,2,"Cedi ghanés"
l10n_py_currency_GIP,GIP,292,2,"Libra de Gibraltar"
l10n_py_currency_GMD,GMD,270,2,"Dalasi"
l10n_py_currency_GNF,GNF,324,0,"Franco guineano"
l10n_py_currency_GTQ,GTQ,320,2,"Quetzal"
l10n_py_currency_GYD,GYD,328,2,"Dólar guyanés"
l10n_py_currency_HKD,HKD,344,2,"Dólar de Hong Kong"
l10n_py_currency_HNL,HNL,340,2,"Lempira"
l10n_py_currency_HTG,HTG,332,2,"Gourde"
l10n_py_currency_HUF,HUF,348,2,"Forinto"
l10n_py_currency_IDR,IDR,360,2,"Rupia indonesia"
l10n_py_currency_ILS,ILS,376,2,"Nuevo séquel israelí"
l10n_py_currency_INR,INR,356,2,"Rupia india"
l10n_py_currency_IQD,IQD,368,3,"Dinar iraquí"
l10n_py_currency_IRR,IRR,364,2,"Rial iraní"
l10n_py_currency_ISK,ISK,352,0,"Corona islandesa"
l10n_py_currency_JMD,JMD,388,2,"Dólar jamaiquino"
l10n_py_currency_JOD,JOD,400,3,"Dinar jordano"
l10n_py_currency_JPY,JPY,392,0,"Yen"
l10n_py_currency_KES,KES,404,2,"Chelín keniano"
l10n_py_currency_KGS,KGS,417,2,"Som"
l10n_py_currency_KHR,KHR,116,2,"Riel"
l10n_py_currency_KMF,KMF,174,0,"Franco comorense"
